,State,City,Station,displayname,nolookupname,latlong,point,latitude,longitude,latlongnolookup
228,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB","Nishant Ganj, Lucknow, Uttar Pradesh","Lucknow, Uttar Pradesh, India",,"(26.8381, 80.9346001, 0.0)",26.8381,80.9346001,"Lucknow, Sadar, Lucknow, Uttar Pradesh, 226019, India"
229,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB","Talkatora District Industries Center, Lucknow, Uttar Pradesh","Lucknow, Uttar Pradesh, India",,"(26.8381, 80.9346001, 0.0)",26.8381,80.9346001,"Lucknow, Sadar, Lucknow, Uttar Pradesh, 226019, India"
230,Uttar Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB","Ganga Nagar, Meerut, Uttar Pradesh","Meerut, Uttar Pradesh, India","Ganga Nagar, Saket, Meerut, Uttar Pradesh, 250001, India","(28.9997246, 77.7593586251069, 0.0)",28.9997246,77.75935863,
231,Uttar Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB","Jai Bhim Nagar, Meerut, Uttar Pradesh","Meerut, Uttar Pradesh, India",,"(28.916667, 77.683333, 0.0)",28.916667,77.683333,"Meerut, Uttar Pradesh, India"
232,Uttar Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","Pallavpuram Phase 2, Meerut, Uttar Pradesh","Meerut, Uttar Pradesh, India","Pallavpuram Phase-2, Modipuram, Sardhana, Meerut, Uttar Pradesh, India","(29.0630475, 77.71438599517693, 0.0)",29.0630475,77.714386,
233,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB","Lajpat Nagar, Moradabad, Uttar Pradesh","Moradabad, Uttar Pradesh, India",,"(28.8638424, 78.80577833091104, 0.0)",28.8638424,78.80577833,"Moradabad, Uttar Pradesh, India"
234,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","New Mandi, Muzaffarnagar, Uttar Pradesh","Muzaffarnagar, Uttar Pradesh, India",,"(29.44800635, 77.74068502568672, 0.0)",29.44800635,77.74068503,"Muzaffarnagar, Uttar Pradesh, India"
235,Uttar Pradesh,Noida,"Sector - 125, Noida - UPPCB","Sector - 125, Noida, Uttar Pradesh","Noida, Uttar Pradesh, India","Sector 9, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","(28.5868527, 77.32739260029359, 0.0)",28.5868527,77.3273926,
236,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD","Sector - 62, Noida, Uttar Pradesh","Noida, Uttar Pradesh, India","Sector 62, Shaheed Hawaldar Padam Singh Dhama Marg, Ghaziabad, Uttar Pradesh, 201001, India","(28.62549, 77.3742179, 0.0)",28.62549,77.3742179,
237,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB","Sector-1, Noida, Uttar Pradesh","Noida, Uttar Pradesh, India","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","(28.5356329, 77.3910727, 0.0)",28.5356329,77.3910727,
