,State,City,Station,displayname,nolookupname,latlong,point,latitude,longitude,latlongnolookup
46,Delhi,Delhi,"Patparganj, Delhi - DPCC","Patparganj, Delhi, Delhi","Delhi, Delhi, India","Patparganj, Samaspur, Mayur Vihar Tehsil, East Delhi, Delhi, 110091, India","(28.6115923, 77.2905644, 0.0)",28.6115923,77.2905644,
47,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","Punjabi Bagh, Delhi, Delhi","Delhi, Delhi, India","Punjabi Bagh, Punjabi Bagh Tehsil, West Delhi, Delhi, India","(28.668945, 77.1324614, 0.0)",28.668945,77.1324614,
48,Delhi,Delhi,"Pusa, Delhi - DPCC","Pusa, Delhi, Delhi","Delhi, Delhi, India","Pusa, New Delhi, Delhi Cantonment, Delhi, India","(28.63629965, 77.15764441079895, 0.0)",28.63629965,77.15764441,
49,Delhi,Delhi,"Pusa, Delhi - IMD","Pusa, Delhi, Delhi","Delhi, Delhi, India","Pusa, New Delhi, Delhi Cantonment, Delhi, India","(28.63629965, 77.15764441079895, 0.0)",28.63629965,77.15764441,
50,Delhi,Delhi,"R K Puram, Delhi - DPCC","R K Puram, Delhi, Delhi","Delhi, Delhi, India","R. K Puram, Outer Ring Road, Adchini, New Delhi, Hauz Khas Tehsil, Delhi, 110066, India","(28.5503864, 77.1855171, 0.0)",28.5503864,77.1855171,
51,Delhi,Delhi,"Rohini, Delhi - DPCC","Rohini, Delhi, Delhi","Delhi, Delhi, India","Rohini, Rohini Tehsil, North West Delhi, Delhi, India","(28.7162092, 77.1170743, 0.0)",28.7162092,77.1170743,
52,Delhi,Delhi,"Shadipur, Delhi - CPCB","Shadipur, Delhi, Delhi","Delhi, Delhi, India","Shadipur, Patel Road, East Patel Nagar, Patel Nagar Tehsil, West Delhi, Delhi, 110015, India","(28.6516362, 77.1582947, 0.0)",28.6516362,77.1582947,
53,Delhi,Delhi,"Sirifort, Delhi - CPCB","Sirifort, Delhi, Delhi","Delhi, Delhi, India",,"(28.6517178, 77.2219388, 0.0)",28.6517178,77.2219388,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India"
54,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","Sonia Vihar, Delhi, Delhi","Delhi, Delhi, India","Sonia Vihar, Karawal Nagar Tehsil, North East Delhi, Delhi, 110094, India","(28.7199257, 77.2481823, 0.0)",28.7199257,77.2481823,
55,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","Sri Aurobindo Marg, Delhi, Delhi","Delhi, Delhi, India",,"(28.6517178, 77.2219388, 0.0)",28.6517178,77.2219388,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India"
56,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","Vivek Vihar, Delhi, Delhi","Delhi, Delhi, India","Vivek Vihar, Vivek Vihar Tehsil, Shahdara, Delhi, India","(28.6691641, 77.31226695421603, 0.0)",28.6691641,77.31226695,
57,Delhi,Delhi,"Wazirpur, Delhi - DPCC","Wazirpur, Delhi, Delhi","Delhi, Delhi, India","Wazirpur, Saraswati Vihar Tehsil, North West Delhi, Delhi, India","(28.680084299999997, 77.17022123990277, 0.0)",28.6800843,77.17022124,
58,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","Maninagar, Ahmedabad, Gujarat","Ahmedabad, Gujarat, India","Maninagar, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380008, India","(22.9977135, 72.6067174, 0.0)",22.9977135,72.6067174,
59,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","GIDC, Ankleshwar, Gujarat","Ankleshwar, Gujarat, India","GIDC, Ankleshwar Taluka, Bharuch District, Gujarat, India","(21.61946515, 73.02979455103181, 0.0)",21.61946515,73.02979455,
60,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","Sector-10, Gandhinagar, Gujarat","Gandhinagar, Gujarat, India","Sector 10, Gandhinagar, Gandhinagar Taluka, Gandhinagar District, Gujarat, India","(23.2156209, 72.6550405, 0.0)",23.2156209,72.6550405,
61,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","GIDC, Nandesari, Gujarat","Nandesari, Gujarat, India",,"(22.4178037, 73.0949186, 0.0)",22.4178037,73.0949186,"Nandesari, NH48, Vadodara Taluka, Vadodara District, Gujarat, 388306, India"
62,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","Phase-1 GIDC, Vapi, Gujarat","Vapi, Gujarat, India",,"(20.3735482, 72.9084376, 0.0)",20.3735482,72.9084376,"Vapi, Daman Road, Vapi, Vapi Taluka, Valsad, Gujarat, 396191, India"
63,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","Phase-4 GIDC, Vatva, Gujarat","Vatva, Gujarat, India","Vatva gidc iv road, Vatva Gidc, Ramol -Jantanagar, Daskroi Taluka, Ahmedabad District, Gujarat, 382445, India","(22.9603877, 72.6418145, 0.0)",22.9603877,72.6418145,
64,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","Patti Mehar, Ambala, Haryana","Ambala, Haryana, India",,"(30.3843674, 76.770421, 0.0)",30.3843674,76.770421,"Ambala, Haryana, 134002, India"
65,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","Arya Nagar, Bahadurgarh, Haryana","Bahadurgarh, Haryana, India",,"(28.660964800000002, 76.83467647083376, 0.0)",28.6609648,76.83467647,"Bahadurgarh, Jhajjar, Haryana, India"
66,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","Nathu Colony, Ballabgarh, Haryana","Ballabgarh, Haryana, India",,"(28.291713950000002, 77.36040706812736, 0.0)",28.29171395,77.36040707,"Ballabgarh, Faridabad, Haryana, India"
67,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","H.B. Colony, Bhiwani, Haryana","Bhiwani, Haryana, India",,"(28.7931703, 76.1391283, 0.0)",28.7931703,76.1391283,"Bhiwani, Bhiwani district, Haryana, 125021, India"
68,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB","Mini Secretariat, Charkhi Dadri, Haryana","Charkhi Dadri, Haryana, India",,"(28.5919933, 76.2719817, 0.0)",28.5919933,76.2719817,"Charkhi Dadri, Dadri, Charkhi Dadri, Haryana, 123306, India"
69,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","Municipal Corporation Office, Dharuhera, Haryana","Dharuhera, Haryana, India",,"(28.2055216, 76.7953099, 0.0)",28.2055216,76.7953099,"Dharuhera, Rewari, Haryana, 123106, India"
70,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","New Industrial Town, Faridabad, Haryana","Faridabad, Haryana, India",,"(28.4029786, 77.3103837, 0.0)",28.4029786,77.3103837,"Faridabad, Haryana, 121001, India"
71,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","Sector 11, Faridabad, Haryana","Faridabad, Haryana, India","Sector 11, Faridabad, Haryana, 121001, India","(28.375934100000002, 77.31854412915146, 0.0)",28.3759341,77.31854413,
72,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","Sector 30, Faridabad, Haryana","Faridabad, Haryana, India","Sector 30, Faridabad, Haryana, 121001, India","(28.4427368, 77.32044886132684, 0.0)",28.4427368,77.32044886,
73,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB","Sector- 16A, Faridabad, Haryana","Faridabad, Haryana, India","Sector 16A, Faridabad, Haryana, 121001, India","(28.4096153, 77.31478137333346, 0.0)",28.4096153,77.31478137,
74,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","Huda Sector, Fatehabad, Haryana","Fatehabad, Haryana, India",,"(29.468830099999998, 75.52107146631747, 0.0)",29.4688301,75.52107147,"Fatehabad, Haryana, India"
75,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","NISE Gwal Pahari, Gurugram, Haryana","Gurugram, Haryana, India",,"(28.4646148, 77.0299194, 0.0)",28.4646148,77.0299194,"Gurugram, Gurgaon, Haryana, India"
76,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","Sector-51, Gurugram, Haryana","Gurugram, Haryana, India","Sector 51, Gurugram, Gurgaon, Haryana, 101301, India","(28.4287011, 77.0666877, 0.0)",28.4287011,77.0666877,
77,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","Teri Gram, Gurugram, Haryana","Gurugram, Haryana, India","Gram Panchayat Bhawan, Bhondsi, NH248A, Badshahpur, Gurugram, Sohna, Haryana, 122012, India","(28.35117845, 77.06446614772139, 0.0)",28.35117845,77.06446615,
78,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","Vikas Sadan, Gurugram, Haryana","Gurugram, Haryana, India",,"(28.4646148, 77.0299194, 0.0)",28.4646148,77.0299194,"Gurugram, Gurgaon, Haryana, India"
79,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","Urban Estate-II, Hisar, Haryana","Hisar, Haryana, India","Urban Estate, Sector 15A, Hisar, Haryana, 125001, India","(29.14079195, 75.7420519787518, 0.0)",29.14079195,75.74205198,
80,Haryana,Jind,"Police Lines, Jind - HSPCB","Police Lines, Jind, Haryana","Jind, Haryana, India","Jind, Haryana, 126100, India","(29.3140427, 76.3179488, 0.0)",29.3140427,76.3179488,
81,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","Rishi Nagar, Kaithal, Haryana","Kaithal, Haryana, India",,"(29.7444561, 76.42555011591303, 0.0)",29.7444561,76.42555012,"Kaithal, Haryana, India"
82,Haryana,Karnal,"Sector-12, Karnal - HSPCB","Sector-12, Karnal, Haryana","Karnal, Haryana, India","Sector 12, Model Town, Karnal, Haryana, 132001, India","(29.6982508, 77.00131350967592, 0.0)",29.6982508,77.00131351,
83,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","Sector-7, Kurukshetra, Haryana","Kurukshetra, Haryana, India","Kurukshetra, Thanesar, Kurukshetra, Haryana, 132118, India","(29.9693747, 76.8482787, 0.0)",29.9693747,76.8482787,
84,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","General Hospital, Mandikhera, Haryana","Mandikhera, Haryana, India",,"(27.9000942, 76.9936654, 0.0)",27.9000942,76.9936654,"General Hospital Blood Bank, Mandikhera, NH248A, Ferozepur Jhirka, Nuh, Haryana, 122108, India"
85,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","Sector-2 IMT, Manesar, Haryana","Manesar, Haryana, India","Industrial Modern Township Manesar, Sector 5, Manesar, Haryana, 122051, India","(28.3671851, 76.920669, 0.0)",28.3671851,76.920669,
86,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","Shastri Nagar, Narnaul, Haryana","Narnaul, Haryana, India","Narnaul, Mahendragarh, Haryana, 123001, India","(28.0438468, 76.1062015, 0.0)",28.0438468,76.1062015,
87,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","Shyam Nagar, Palwal, Haryana","Palwal, Haryana, India","Palwal, Haryana, India","(28.1405741, 77.3259802, 0.0)",28.1405741,77.3259802,
88,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB","Sector-6, Panchkula, Haryana","Panchkula, Haryana, India","Sector 6, Panchkula, Haryana, India","(30.705972, 76.85766446463407, 0.0)",30.705972,76.85766446,
89,Haryana,Panipat,"Sector-18, Panipat - HSPCB","Sector-18, Panipat, Haryana","Panipat, Haryana, India","Sector 18 Huda, Panipat, Haryana, 132100, India","(29.437146, 76.97593435132033, 0.0)",29.437146,76.97593435,
90,Haryana,Rohtak,"MD University, Rohtak - HSPCB","MD University, Rohtak, Haryana","Rohtak, Haryana, India",,"(28.9010899, 76.5801935, 0.0)",28.9010899,76.5801935,"Rohtak, Haryana, 124001, India"
91,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","F-Block, Sirsa, Haryana","Sirsa, Haryana, India","Sirsa, Haryana, 125055, India","(29.5372849, 75.0377649, 0.0)",29.5372849,75.0377649,
92,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","Murthal, Sonipat, Haryana","Sonipat, Haryana, India","Murthal, Sonipat, Haryana, India","(29.0396149, 77.0894535, 0.0)",29.0396149,77.0894535,
93,Haryana,Yamunanagar,"Gobind Pura, Yamuna Nagar - HSPCB","Gobind Pura, Yamuna Nagar, Haryana","Yamunanagar, Haryana, India",,"(30.2112003, 77.28638972360895, 0.0)",30.2112003,77.28638972,"Yamunanagar, Haryana, India"
94,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","Tata Stadium, Jorapokhar, Jharkhand","Jorapokhar, Jharkhand, India",,"(23.7167069, 86.4110166, 0.0)",23.7167069,86.4110166,"Jorapokhar, Jharia, Jharia-Cum-Jorapokhar-Cum-Sindri, Dhanbad, Jharkhand, 828111, India"
95,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","Vidayagiri, Bagalkot, Karnataka","Bagalkot, Karnataka, India",,"(16.1853166, 75.6967919, 0.0)",16.1853166,75.6967919,"Bagalkote, Bagalakote taluk, Bagalkote district, Karnataka, 587102, India"
96,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","BTM Layout, Bengaluru, Karnataka","Bengaluru, Karnataka, India","BTM Layout, South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, - 560034, India","(12.9151772, 77.6102821, 0.0)",12.9151772,77.6102821,
97,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru, Karnataka","Bengaluru, Karnataka, India",,"(12.9791198, 77.5912997, 0.0)",12.9791198,77.5912997,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India"
98,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","Bapuji Nagar, Bengaluru, Karnataka","Bengaluru, Karnataka, India","Bapuji Nagar, South Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 566026, India","(12.9556699, 77.5402492, 0.0)",12.9556699,77.5402492,
99,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","City Railway Station, Bengaluru, Karnataka","Bengaluru, Karnataka, India","City Railway Station, Station Road, Kalyana nagar, Gandhinagar, Dharwad, Dharawada taluku, Dharwad district, Karnataka, 580001, India","(15.442416099999999, 75.00186546498811, 0.0)",15.4424161,75.00186546,
100,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","Hebbal, Bengaluru, Karnataka","Bengaluru, Karnataka, India","Hebbal, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 560024, India","(13.0382184, 77.5919, 0.0)",13.0382184,77.5919,
101,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru, Karnataka","Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","(12.9791198, 77.5912997, 0.0)",12.9791198,77.5912997,
102,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru, Karnataka","Bengaluru, Karnataka, India","Jayanagar 5th Block, South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, India","(12.9194605, 77.58332110317872, 0.0)",12.9194605,77.5833211,
103,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","Peenya, Bengaluru, Karnataka","Bengaluru, Karnataka, India","Peenya, Rajarajeshwari Nagar Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 560057, India","(13.0329419, 77.5273253, 0.0)",13.0329419,77.5273253,
104,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","Sanegurava Halli, Bengaluru, Karnataka","Bengaluru, Karnataka, India",,"(12.9791198, 77.5912997, 0.0)",12.9791198,77.5912997,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India"
105,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","Silk Board, Bengaluru, Karnataka","Bengaluru, Karnataka, India","Silk Board, Outer Ring Road, Madivala, South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, - 560034, India","(12.9167139, 77.6214094, 0.0)",12.9167139,77.6214094,
106,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","Urban, Chamarajanagar, Karnataka","Chamarajanagar, Karnataka, India",,"(11.9346006, 76.9328209, 0.0)",11.9346006,76.9328209,"Chamarajanagar, Nanjangudu-Chamarajanagar Road, Yadapura, Chamarajanagara, Chamarajanagara taluk, Chamarajanagar district, Karnataka, 571313, India"
107,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","Chikkaballapur Rural, Chikkaballapur, Karnataka","Chikkaballapur, Karnataka, India",,"(13.4352549, 77.7306866, 0.0)",13.4352549,77.7306866,"Chikkaballapura, NH69, Pujanahalli, Chikkaballapura, Chikkaballapura taluk, Chikkaballapura district, Karnataka, 562101, India"
108,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","Kalyana Nagara, Chikkamagaluru, Karnataka",,,,13.322462,75.79604,
109,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB","Deshpande Nagar, Hubballi, Karnataka","Hubballi, Karnataka, India","Sawai Gandharva Ground /deshpande Nagar Park, Bhavani Nagar, Vidyanagar, Hubballi, Hubballi taluku, Dharwad district, Karnataka, 580020, India","(15.3597632, 75.13629477439613, 0.0)",15.3597632,75.13629477,
110,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","Lal Bahadur Shastri Nagar, Kalaburagi, Karnataka","Kalaburagi, Karnataka, India",,"(17.166667, 77.083333, 0.0)",17.166667,77.083333,"Kalaburagi, Kalaburagi district, Karnataka, India"
111,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","Stuart Hill, Madikeri, Karnataka","Madikeri, Karnataka, India",,"(12.42149, 75.7387543, 0.0)",12.42149,75.7387543,"Madikeri, Madikeri taluku, Kodagu, Karnataka, 571201, India"
112,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","Hebbal 1st Stage, Mysuru, Karnataka","Mysuru, Karnataka, India",,"(12.3051828, 76.6553609, 0.0)",12.3051828,76.6553609,"Mysuru, Mysuru taluk, Mysuru district, Karnataka, 570001, India"
113,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","Vijay Nagar, Ramanagara, Karnataka","Ramanagara, Karnataka, India",,"(12.7252766, 77.2804797, 0.0)",12.7252766,77.2804797,"Ramanagara, Ramanagara taluk, Ramanagara district, Karnataka, 571511, India"
114,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","Vinoba Nagara, Shivamogga, Karnataka","Shivamogga, Karnataka, India",,"(13.9311723, 75.569737, 0.0)",13.9311723,75.569737,"Shivamogga, Shivamogga taluku, Shimoga district, Karnataka, 577200, India"
115,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","Ibrahimpur, Vijayapura, Karnataka","Vijayapura, Karnataka, India","Ibrahimpur, ???????? ?????, Ibrahimpura, Vijayapura, Vijayapura taluk, Bijapur district, Karnataka, 586101, India","(16.8034264, 75.7199513, 0.0)",16.8034264,75.7199513,
116,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","Collector Office, Yadgir, Karnataka","Yadgir, Karnataka, India",,"(16.7689044, 77.1380381, 0.0)",16.7689044,77.1380381,"Yadgir, Yadagiri taluku, Yadagiri district, Karnataka, 585200, India"
117,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","Udyogamandal, Eloor, Kerala","Eloor, Kerala, India","FACT Udyogamandal Complex Office, Eloor Ferry Road, Elur, Paravur, Ernakulam district, Kerala, 683501, India","(10.0794694, 76.2978502, 0.0)",10.0794694,76.2978502,
118,Kerala,Ernakulam,"Kacheripady, Ernakulam - Kerala PCB","Kacheripady, Ernakulam, Kerala","Ernakulam, Kerala, India","Kacheripady, Ernakulam, Kanayannur, Ernakulam district, Kerala, 682018, India","(9.9862208, 76.2831637, 0.0)",9.9862208,76.2831637,
119,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","Thavakkara, Kannur, Kerala","Kannur, Kerala, India","Thavakkara, Kannur, Kannur district, Kerala, 670017, India","(11.8679682, 75.3707521, 0.0)",11.8679682,75.3707521,
120,Kerala,Kochi,"Vyttila, Kochi - Kerala PCB","Vyttila, Kochi, Kerala","Kochi, Kerala, India","Kerala State Construction Corporation Limited(KSCC), Door No.30/1521-A, Salem-Kochi-Kanyakumari Road, Vyttila, Ernakulam, Kanayannur, Ernakulam district, Kerala, 682019, India","(9.9756152, 76.3175229, 0.0)",9.9756152,76.3175229,
121,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","Polayathode, Kollam, Kerala","Kollam, Kerala, India",,"(8.8879509, 76.5955013, 0.0)",8.8879509,76.5955013,"Kollam, Kerala, 691001, India"
122,Kerala,Kozhikode,"Palayam, Kozhikode - Kerala PCB","Palayam, Kozhikode, Kerala","Kozhikode, Kerala, India","Palayam, Kozhikode, Kozhikode district, Kerala, 673002, India","(11.248138, 75.7846487, 0.0)",11.248138,75.7846487,
123,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","Kariavattom, Thiruvananthapuram, Kerala","Thiruvananthapuram, Kerala, India","Kariavattom Campus Quarters Road, Karyavattom, Chenkottukonam, Thiruvananthapuram, Kerala, 695581, India","(8.559286, 76.8841507, 0.0)",8.559286,76.8841507,
124,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","Plammoodu, Thiruvananthapuram, Kerala","Thiruvananthapuram, Kerala, India",,"(8.5241122, 76.9360573, 0.0)",8.5241122,76.9360573,"Thiruvananthapuram, Kerala, 695001, India"
125,Kerala,Thrissur,"Corporation Ground, Thrissur- Kerala PCB","Corporation Ground, Thrissu, Kerala","Thrissur, Kerala, India",,"(10.5256264, 76.2132542, 0.0)",10.5256264,76.2132542,"Thrissur, Thrissur district, Kerala, 680001, India"
126,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB","T T Nagar, Bhopal, Madhya Pradesh","Bhopal, Madhya Pradesh, India","T T Nagar, Ibrahimpura, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India","(23.2286993, 77.4002881, 0.0)",23.2286993,77.4002881,
127,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB","Shrivastav Colony, Damoh, Madhya Pradesh","Damoh, Madhya Pradesh, India",,"(23.75, 79.583333, 0.0)",23.75,79.583333,"Damoh, Madhya Pradesh, India"
128,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB","Bhopal Chauraha, Dewas, Madhya Pradesh","Dewas, Madhya Pradesh, India",,"(23.0, 76.166667, 0.0)",23,76.166667,"Dewas, Madhya Pradesh, India"
129,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB","City Center, Gwalior, Madhya Pradesh","Gwalior, Madhya Pradesh, India","Gwalior, Madhya Pradesh, 474001, India","(26.2037247, 78.1573628, 0.0)",26.2037247,78.1573628,
130,Madhya Pradesh,Gwalior,"Phool Bagh, Gwalior - Mondelez Ind. Food","Phool Bagh, Gwalior, Madhya Pradesh","Gwalior, Madhya Pradesh, India",,"(26.2037247, 78.1573628, 0.0)",26.2037247,78.1573628,"Gwalior, Madhya Pradesh, 474001, India"
131,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB","Chhoti Gwaltoli, Indore, Madhya Pradesh","Indore, Madhya Pradesh, India",,"(22.7203616, 75.8681996, 0.0)",22.7203616,75.8681996,"Indore, Madhya Pradesh, 452001, India"
132,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB","Marhatal, Jabalpur, Madhya Pradesh","Jabalpur, Madhya Pradesh, India",,"(23.1608938, 79.9497702, 0.0)",23.1608938,79.9497702,"Jabalpur, Jabalpur Tahsil, Jabalpur, Madhya Pradesh, India"
133,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB","Gole Bazar, Katni, Madhya Pradesh","Katni, Madhya Pradesh, India",,"(23.8339621, 80.392456, 0.0)",23.8339621,80.392456,"Katni, Murwara Tahsil, Katni, Madhya Pradesh, 483500, India"
134,Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements","Sahilara, Maihar, Madhya Pradesh","Maihar, Madhya Pradesh, India",,"(24.260444, 80.7592749, 0.0)",24.260444,80.7592749,"Maihar, Maihar Tahsil, Satna, Madhya Pradesh, 485771, India"
135,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","Sector-D Industrial Area, Mandideep, Madhya Pradesh","Mandideep, Madhya Pradesh, India",,"(23.0965633, 77.5144525, 0.0)",23.0965633,77.5144525,"Mandideep, Goharganj Tahsil, Raisen, Madhya Pradesh, India"
136,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","Sector-2 Industrial Area, Pithampur, Madhya Pradesh","Pithampur, Madhya Pradesh, India",,"(22.6105576, 75.6790283, 0.0)",22.6105576,75.6790283,"Pithampur, Dhar Tahsil, Dhar, Madhya Pradesh, India"
137,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","Shasthri Nagar, Ratlam, Madhya Pradesh","Ratlam, Madhya Pradesh, India",,"(23.501957750000003, 74.95284518680097, 0.0)",23.50195775,74.95284519,"Ratlam, Madhya Pradesh, India"
138,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB","Deen Dayal Nagar, Sagar, Madhya Pradesh","Sagar, Madhya Pradesh, India",,"(23.80961225, 78.75911360578634, 0.0)",23.80961225,78.75911361,"Sagar, Madhya Pradesh, India"
139,Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement","Bandhavgar Colony, Satna, Madhya Pradesh","Satna, Madhya Pradesh, India",,"(24.5, 81.0, 0.0)",24.5,81,"Satna, Madhya Pradesh, India"
140,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB","Vindhyachal STPS, Singrauli, Madhya Pradesh","Singrauli, Madhya Pradesh, India",,"(24.1974432, 82.6661453, 0.0)",24.1974432,82.6661453,"Singrauli, Singrauli Tahsil, Singrauli, Madhya Pradesh, 486889, India"
141,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB","Mahakaleshwar Temple, Ujjain, Madhya Pradesh","Ujjain, Madhya Pradesh, India","Mahakaleshwar Temple, Mahakaleshwar Temple Road, Ujjain, Ujjain Tahsil, Ujjain, Madhya Pradesh, 456001, India","(23.182972149999998, 75.76818505832998, 0.0)",23.18297215,75.76818506,
142,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","More Chowk Waluj, Aurangabad, Maharashtra","Aurangabad, Maharashtra, India","more chowk, Pune - Aurangabad Highway, Waluj Buzurg, Gangapur, Aurangabad, Maharashtra, 431133, India","(19.8389644, 75.2465856, 0.0)",19.8389644,75.2465856,
143,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB","Chandrapur, Chandrapur, Maharashtra","Chandrapur, Maharashtra, India","Chandrapur, Chandrapur District, Maharashtra, India","(20.030975599999998, 79.35813866691342, 0.0)",20.0309756,79.35813867,
144,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","MIDC Khutala, Chandrapur, Maharashtra","Chandrapur, Maharashtra, India","MIDC Khutala, Chandrapur, Chandrapur District, Maharashtra, 442401, India","(19.9777956, 79.23633267283243, 0.0)",19.9777956,79.23633267,
